"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00417588","RICHARDSON, TX US","2019-01-01","0.00","44","33","33"
"USC00417588","RICHARDSON, TX US","2019-01-02","1.25","35","31","35"
"USC00417588","RICHARDSON, TX US","2019-01-03","0.78","40","34","36"
"USC00417588","RICHARDSON, TX US","2019-01-04","0.00","58","35","38"
"USC00417588","RICHARDSON, TX US","2019-01-05","0.03","71","35","54"
"USC00417588","RICHARDSON, TX US","2019-01-06","0.00","67","43","61"
"USC00417588","RICHARDSON, TX US","2019-01-07","0.00","73","56","58"
"USC00417588","RICHARDSON, TX US","2019-01-08","0.00","66","48","49"
"USC00417588","RICHARDSON, TX US","2019-01-09","0.00","59","40","40"
"USC00417588","RICHARDSON, TX US","2019-01-10","0.00","49","37","46"
"USC00417588","RICHARDSON, TX US","2019-01-11","0.32","52","44","49"
"USC00417588","RICHARDSON, TX US","2019-01-12","0.03","54","40","40"
"USC00417588","RICHARDSON, TX US","2019-01-13","0.00","40","35","35"
"USC00417588","RICHARDSON, TX US","2019-01-14","0.00","45","33","33"
"USC00417588","RICHARDSON, TX US","2019-01-15","0.00","47","32","46"
"USC00417588","RICHARDSON, TX US","2019-01-16","0.00","60","44","55"
"USC00417588","RICHARDSON, TX US","2019-01-17","0.00","57","39","39"
"USC00417588","RICHARDSON, TX US","2019-01-18","0.01","66","38","62"
"USC00417588","RICHARDSON, TX US","2019-01-19","0.05","62","27","27"
"USC00417588","RICHARDSON, TX US","2019-01-20","0.00","47","24","39"
"USC00417588","RICHARDSON, TX US","2019-01-21","0.00","57","36","52"
"USC00417588","RICHARDSON, TX US","2019-01-22","0.07","59","35","35"
"USC00417588","RICHARDSON, TX US","2019-01-23","0.00","46","25","39"
"USC00417588","RICHARDSON, TX US","2019-01-24","0.00","58","28","36"
"USC00417588","RICHARDSON, TX US","2019-01-25","0.00","51","29","37"
"USC00417588","RICHARDSON, TX US","2019-01-26","0.00","56","34","36"
"USC00417588","RICHARDSON, TX US","2019-01-27","0.00","62","32","43"
"USC00417588","RICHARDSON, TX US","2019-01-28","0.00","61","34","34"
"USC00417588","RICHARDSON, TX US","2019-01-29","0.00","47","24","35"
"USC00417588","RICHARDSON, TX US","2019-01-30","0.00","50","31","40"
"USC00417588","RICHARDSON, TX US","2019-01-31","0.00","54","39","52"
"USC00417588","RICHARDSON, TX US","2019-02-01","0.00","60","52","56"
"USC00417588","RICHARDSON, TX US","2019-02-02","0.00","64","52","59"
"USC00417588","RICHARDSON, TX US","2019-02-03","0.00","70","58","65"
"USC00417588","RICHARDSON, TX US","2019-02-04","0.00","78","60","65"
"USC00417588","RICHARDSON, TX US","2019-02-05","0.00","76","64","68"
"USC00417588","RICHARDSON, TX US","2019-02-06","0.01","76","67","70"
"USC00417588","RICHARDSON, TX US","2019-02-07","0.63","70","27","27"
"USC00417588","RICHARDSON, TX US","2019-02-08","0.00","35","21","34"
"USC00417588","RICHARDSON, TX US","2019-02-09","0.21","37","21","34"
"USC00417588","RICHARDSON, TX US","2019-02-10","0.14","43","34","43"
"USC00417588","RICHARDSON, TX US","2019-02-11","0.34","58","43","56"
"USC00417588","RICHARDSON, TX US","2019-02-12","0.00","56","37","38"
"USC00417588","RICHARDSON, TX US","2019-02-13","0.00","62","35","54"
"USC00417588","RICHARDSON, TX US","2019-02-14","0.00","76","50","58"
"USC00417588","RICHARDSON, TX US","2019-02-15","0.00","72","35","35"
"USC00417588","RICHARDSON, TX US","2019-02-16","0.00","41","31","41"
"USC00417588","RICHARDSON, TX US","2019-02-17","0.02","52","37","42"
"USC00417588","RICHARDSON, TX US","2019-02-18","0.00","42","32","36"
"USC00417588","RICHARDSON, TX US","2019-02-19","0.38","38","32","37"
"USC00417588","RICHARDSON, TX US","2019-02-20","0.00","57","36","43"
"USC00417588","RICHARDSON, TX US","2019-02-21","0.14","50","39","46"
"USC00417588","RICHARDSON, TX US","2019-02-22","0.08","48","45","48"
"USC00417588","RICHARDSON, TX US","2019-02-23","0.04","68","47","47"
"USC00417588","RICHARDSON, TX US","2019-02-24","0.00","59","36","36"
"USC00417588","RICHARDSON, TX US","2019-02-25","0.00","63","34","50"
"USC00417588","RICHARDSON, TX US","2019-02-26","0.00","60","48","58"
"USC00417588","RICHARDSON, TX US","2019-02-27","0.05","61","30","30"
"USC00417588","RICHARDSON, TX US","2019-02-28","0.00","36","28","31"
"USC00417588","RICHARDSON, TX US","2019-03-01","0.03","42","30","38"
"USC00417588","RICHARDSON, TX US","2019-03-02","0.08","42","36","41"
"USC00417588","RICHARDSON, TX US","2019-03-03","0.01","41","24","24"
"USC00417588","RICHARDSON, TX US","2019-03-04","0.10","32","20","27"
"USC00417588","RICHARDSON, TX US","2019-03-05","0.00","45","20","27"
"USC00417588","RICHARDSON, TX US","2019-03-06","0.00","53","23","46"
"USC00417588","RICHARDSON, TX US","2019-03-07","0.00","69","45","63"
"USC00417588","RICHARDSON, TX US","2019-03-08","0.03","77","60","69"
"USC00417588","RICHARDSON, TX US","2019-03-09","0.54","78","53","53"
"USC00417588","RICHARDSON, TX US","2019-03-10","0.02","78","49","49"
"USC00417588","RICHARDSON, TX US","2019-03-11","0.03","60","49","58"
"USC00417588","RICHARDSON, TX US","2019-03-12","0.10","67","55","66"
"USC00417588","RICHARDSON, TX US","2019-03-13","1.68","70","53","63"
"USC00417588","RICHARDSON, TX US","2019-03-14","0.00","66","46","47"
"USC00417588","RICHARDSON, TX US","2019-03-15","0.00","59","40","46"
"USC00417588","RICHARDSON, TX US","2019-03-16","0.00","60","37","42"
"USC00417588","RICHARDSON, TX US","2019-03-17","0.00","67","42","58"
"USC00417588","RICHARDSON, TX US","2019-03-18","0.00","71","35","51"
"USC00417588","RICHARDSON, TX US","2019-03-19","0.00","69","44","54"
"USC00417588","RICHARDSON, TX US","2019-03-20","0.00","65","47","54"
"USC00417588","RICHARDSON, TX US","2019-03-21","0.00","75","48","52"
"USC00417588","RICHARDSON, TX US","2019-03-22","0.00","75","46","65"
"USC00417588","RICHARDSON, TX US","2019-03-23","0.04","68","57","66"
